Place Name,Latitude,Longitude,Cost,Categories,Sub Places
Place_27,7.569048,81.667533,12541,"Nature, Beach","Little Adam's Peak, Udawalawe National Park, Yala National Park, Nine Arches Bridge"
Place_28,7.977884,80.944724,14796,"Wildlife, Nature, Cultural","Yala National Park, Dambulla Cave Temple, Udawalawe National Park"
Place_29,6.075448,79.991437,12877,"Beach, Cultural","Udawalawe National Park, Pidurangala Rock, Gregory Lake"
Place_30,7.397059,80.211138,16498,"Religious, Beach","Adam's Peak, Dambulla Cave Temple, Polonnaruwa Ruins"
Place_31,9.761093,80.841296,9250,Cultural,"Mirissa Beach, Galle Fort"
Place_32,9.585226,81.213844,2500,"Cultural, Religious, Beach",Horton Plains
Place_33,8.131993,81.265545,7114,"Adventure, Nature","Haggala Garden, Horton Plains"
Place_34,7.082715,80.891912,19809,"Beach, Cultural, Wildlife","Little Adam's Peak, Jaya Sri Maha Bodhi, Udawalawe National Park, Yala National Park"
Place_35,7.924542,81.571111,14726,"Nature, Wildlife","Mirissa Beach, Haggala Garden, Little Adam's Peak"
Place_36,8.540806,81.289055,6000,Cultural,Yala National Park
Place_37,7.56306,81.751737,8000,"Adventure, Cultural","Jungle Beach, Adam's Peak"
Place_38,8.444338,81.363968,28605,"Wildlife, Adventure","Pidurangala Rock, Udawalawe National Park, Mirissa Beach, Ruwanwelisaya Stupa, Galle Fort"
Place_39,8.789234,81.634274,16633,"Beach, Adventure, Cultural","Mirissa Beach, Pidurangala Rock, Gregory Lake"
Place_40,7.511646,80.166022,12522,Religious,"Arugam Bay, Gregory Lake, Dambulla Cave Temple, Pidurangala Rock, Jungle Beach"
Place_41,8.590275,81.322568,4000,"Religious, Nature, Adventure",Haggala Garden
Place_42,8.64701,81.327957,6413,Wildlife,"Sigiriya Museum, Little Adam's Peak"
Place_43,8.801494,80.787223,12500,Nature,"Pidurangala Rock, Ambewela Farm, Horton Plains, Temple of the Tooth, Dambulla Cave Temple"
Place_44,7.696728,80.439591,9860,Beach,"Jungle Beach, Dambulla Cave Temple"
Place_45,9.420089,81.639668,6817,"Cultural, Nature","Adam's Peak, Jungle Beach"
Place_46,7.960027,80.440009,3447,Adventure,"Ambewela Farm, Yala National Park"
Place_47,9.403017,81.425476,3124,"Adventure, Nature, Wildlife","Temple of the Tooth, Haggala Garden, Udawalawe National Park"
Place_48,9.534668,80.256694,9702,Wildlife,Jungle Beach
Place_49,9.399236,80.527213,2923,Wildlife,"Mirissa Beach, Arugam Bay"
Place_50,7.673456,81.000918,2526,"Nature, Beach","Galle Fort, Temple of the Tooth"
Place_51,9.538181,79.834873,7716,Nature,"Horton Plains, Haggala Garden"
Place_52,6.550682,81.874052,2999,"Nature, Beach, Religious",Horton Plains
Place_53,9.606102,81.338058,7102,"Beach, Religious",Sigiriya Museum
Place_54,9.620122,81.776535,12427,Adventure,"Galle Fort, Udawalawe National Park, Polonnaruwa Ruins"
Place_55,9.118035,79.930721,9480,"Wildlife, Cultural, Nature","Ruwanwelisaya Stupa, Polonnaruwa Ruins"
Place_56,6.78218,81.245341,8589,Religious,"Pidurangala Rock, Jungle Beach"
Place_57,9.362887,80.003512,13456,"Adventure, Cultural","Galle Fort, Nine Arches Bridge"
Place_58,7.476,80.138068,6862,"Beach, Adventure, Nature",Adam's Peak
Place_59,7.538644,81.424705,13926,"Religious, Cultural","Sigiriya Museum, Pidurangala Rock, Temple of the Tooth, Jungle Beach, Udawalawe National Park"
Place_60,6.040194,79.756019,15665,"Beach, Cultural","Ambewela Farm, Sigiriya Museum"
Place_61,7.243542,81.45763,14923,"Wildlife, Nature, Beach","Nine Arches Bridge, Gregory Lake, Dambulla Cave Temple, Little Adam's Peak, Sigiriya Museum"
Place_62,6.312071,81.802376,9977,Adventure,"Little Adam's Peak, Arugam Bay, Adam's Peak"
Place_63,8.661759,80.12106,6210,Nature,"Horton Plains, Jaya Sri Maha Bodhi"
Place_64,8.087215,81.09057,16490,Religious,"Gregory Lake, Temple of the Tooth, Arugam Bay, Mirissa Beach"
Place_65,8.579322,81.676599,17633,"Beach, Cultural, Wildlife","Jaya Sri Maha Bodhi, Ruwanwelisaya Stupa, Mirissa Beach, Yala National Park, Nine Arches Bridge"
Place_66,7.293922,81.276505,5408,"Nature, Cultural","Little Adam's Peak, Gregory Lake, Temple of the Tooth"
Place_67,9.659788,81.150192,7036,"Beach, Adventure","Dambulla Cave Temple, Udawalawe National Park"
Place_68,8.364768,81.251689,15268,Nature,"Ambewela Farm, Gregory Lake, Temple of the Tooth, Adam's Peak"
Place_69,7.274946,80.41324,12932,Adventure,"Nine Arches Bridge, Ambewela Farm, Ruwanwelisaya Stupa, Haggala Garden"
Place_70,7.300866,81.67348,8003,"Adventure, Religious, Beach","Polonnaruwa Ruins, Sigiriya Museum"
Place_71,7.998256,80.670758,12429,"Adventure, Nature","Jungle Beach, Yala National Park, Ambewela Farm, Gregory Lake"
Place_72,7.422907,79.868663,3971,Religious,Udawalawe National Park
Place_73,7.792783,80.436417,18562,"Adventure, Beach, Religious","Arugam Bay, Little Adam's Peak, Udawalawe National Park, Mirissa Beach"
Place_74,8.217235,81.234268,15000,"Nature, Adventure","Galle Fort, Dambulla Cave Temple"
Place_75,9.407518,81.429442,14924,"Wildlife, Adventure","Nine Arches Bridge, Mirissa Beach"
Place_76,6.525889,80.760717,2605,"Cultural, Religious, Beach",Jaya Sri Maha Bodhi
Place_77,6.96942,81.562226,8685,Beach,"Nine Arches Bridge, Pidurangala Rock"
Place_78,9.499854,80.683513,17000,"Cultural, Adventure, Religious","Galle Fort, Horton Plains, Polonnaruwa Ruins, Jungle Beach, Mirissa Beach"
Place_79,8.053314,81.19556,17824,"Beach, Cultural, Wildlife","Dambulla Cave Temple, Ruwanwelisaya Stupa, Temple of the Tooth"
Place_80,9.116621,79.933544,18605,Wildlife,"Udawalawe National Park, Sigiriya Museum, Haggala Garden, Pidurangala Rock, Mirissa Beach"
Place_81,9.054603,81.733914,9000,Adventure,"Haggala Garden, Little Adam's Peak"
Place_82,8.617339,81.876432,11000,Wildlife,"Sigiriya Museum, Jaya Sri Maha Bodhi, Gregory Lake"
Place_83,8.942031,81.600145,16504,Wildlife,"Mirissa Beach, Jungle Beach, Little Adam's Peak"
Place_84,9.4592,79.910428,18640,"Cultural, Wildlife","Little Adam's Peak, Galle Fort, Temple of the Tooth, Gregory Lake"
Place_85,6.331216,79.755127,7000,"Nature, Beach, Religious","Haggala Garden, Dambulla Cave Temple"
Place_86,9.132263,80.506424,13793,Beach,"Jaya Sri Maha Bodhi, Ambewela Farm, Horton Plains, Nine Arches Bridge, Udawalawe National Park"
Place_87,8.150921,80.853604,19818,"Wildlife, Religious","Ruwanwelisaya Stupa, Haggala Garden, Gregory Lake"
Place_88,7.280092,80.673111,16772,Nature,"Pidurangala Rock, Polonnaruwa Ruins, Udawalawe National Park"
Place_89,9.24326,80.685393,13818,Beach,"Udawalawe National Park, Horton Plains, Ruwanwelisaya Stupa"
Place_90,9.638296,81.155092,13075,"Beach, Religious","Gregory Lake, Polonnaruwa Ruins, Nine Arches Bridge, Udawalawe National Park, Ambewela Farm"
Place_91,7.408969,79.98994,7960,"Nature, Beach, Adventure",Little Adam's Peak
Place_92,6.630529,80.262845,13943,"Nature, Beach, Religious","Jungle Beach, Adam's Peak"
Place_93,7.268045,80.864818,19098,Religious,"Ambewela Farm, Arugam Bay, Adam's Peak, Ruwanwelisaya Stupa, Pidurangala Rock"
Place_94,9.146054,80.345096,12800,"Adventure, Nature, Cultural","Arugam Bay, Pidurangala Rock"
Place_95,7.370165,81.120499,18580,"Adventure, Beach, Religious","Horton Plains, Ruwanwelisaya Stupa, Yala National Park"
Place_96,9.141248,81.067168,12135,"Wildlife, Beach, Religious","Polonnaruwa Ruins, Yala National Park, Nine Arches Bridge, Mirissa Beach, Galle Fort"
Place_97,9.254585,80.628625,2750,"Wildlife, Beach","Sigiriya Museum, Adam's Peak, Temple of the Tooth, Jungle Beach"
Place_98,7.747722,80.120861,15589,"Adventure, Beach","Pidurangala Rock, Udawalawe National Park, Horton Plains"
Place_99,7.670516,81.445587,6434,Beach,"Horton Plains, Haggala Garden, Dambulla Cave Temple"
Place_100,8.204096,80.326478,2964,Wildlife,"Pidurangala Rock, Dambulla Cave Temple"
Place_101,9.752774,80.226728,13140,"Religious, Wildlife","Yala National Park, Jungle Beach, Pidurangala Rock"
Place_102,9.616095,80.304187,16766,"Wildlife, Beach","Galle Fort, Pidurangala Rock, Horton Plains, Mirissa Beach, Gregory Lake"
Place_103,9.292094,81.213085,15883,"Beach, Nature","Adam's Peak, Udawalawe National Park, Little Adam's Peak"
Place_104,8.029699,80.281084,18163,Religious,"Dambulla Cave Temple, Arugam Bay, Horton Plains, Jaya Sri Maha Bodhi"
Place_105,9.742715,80.421104,13793,Religious,"Sigiriya Museum, Gregory Lake, Pidurangala Rock, Horton Plains"
Place_106,7.141504,81.833449,16511,"Adventure, Religious, Wildlife","Ambewela Farm, Adam's Peak, Jungle Beach, Nine Arches Bridge, Jaya Sri Maha Bodhi"
Place_107,6.038466,80.106733,12079,"Beach, Religious, Nature","Yala National Park, Temple of the Tooth, Mirissa Beach"
Place_108,7.97177,79.889454,3102,Adventure,"Polonnaruwa Ruins, Galle Fort, Mirissa Beach"
Place_109,8.196812,80.439668,15460,"Wildlife, Adventure, Beach","Horton Plains, Ambewela Farm, Gregory Lake"
Place_110,9.511054,80.897734,6046,Wildlife,"Sigiriya Museum, Jaya Sri Maha Bodhi, Ruwanwelisaya Stupa, Gregory Lake, Temple of the Tooth"
Place_111,6.087835,81.068602,14017,"Beach, Cultural, Wildlife","Mirissa Beach, Temple of the Tooth, Haggala Garden, Jaya Sri Maha Bodhi"
Place_112,6.111577,80.998225,15206,Nature,"Gregory Lake, Galle Fort, Dambulla Cave Temple, Ruwanwelisaya Stupa"
Place_113,8.938391,81.036579,8876,"Nature, Cultural","Yala National Park, Adam's Peak, Mirissa Beach"
Place_114,9.245249,81.687663,16750,"Religious, Cultural","Haggala Garden, Pidurangala Rock, Udawalawe National Park"
Place_115,7.162711,79.910178,15584,"Beach, Cultural","Sigiriya Museum, Polonnaruwa Ruins, Yala National Park, Haggala Garden, Ambewela Farm"
Place_116,8.551107,79.833667,13891,"Religious, Cultural, Adventure","Little Adam's Peak, Ruwanwelisaya Stupa"
Place_117,6.149857,81.277678,7747,"Adventure, Religious, Nature","Temple of the Tooth, Little Adam's Peak, Gregory Lake, Ambewela Farm"
Place_118,9.059504,80.619705,7388,"Wildlife, Beach, Adventure","Temple of the Tooth, Arugam Bay, Mirissa Beach, Nine Arches Bridge"
Place_119,7.90682,80.772249,13967,"Cultural, Wildlife","Udawalawe National Park, Ruwanwelisaya Stupa, Adam's Peak"
Place_120,9.088366,79.980126,9784,"Cultural, Adventure","Jaya Sri Maha Bodhi, Horton Plains, Pidurangala Rock"
Place_121,7.332805,80.666563,9331,Religious,"Ruwanwelisaya Stupa, Mirissa Beach, Horton Plains"
Place_122,8.69597,81.388324,13551,"Nature, Wildlife","Adam's Peak, Gregory Lake, Horton Plains, Ruwanwelisaya Stupa, Dambulla Cave Temple"
Place_123,8.595549,81.725027,16328,Nature,"Adam's Peak, Jaya Sri Maha Bodhi, Arugam Bay, Polonnaruwa Ruins"
Place_124,7.783341,81.255135,12786,"Adventure, Religious","Sigiriya Museum, Haggala Garden, Adam's Peak"
Place_125,7.13636,81.634997,5000,"Cultural, Religious","Haggala Garden, Jaya Sri Maha Bodhi"
Place_126,8.007887,79.935777,15943,Beach,"Yala National Park, Pidurangala Rock, Udawalawe National Park, Ruwanwelisaya Stupa, Dambulla Cave Temple"
Place_127,9.532054,79.953328,7012,"Cultural, Beach, Nature",Temple of the Tooth
Place_128,7.317481,81.664134,13226,"Nature, Wildlife, Religious","Nine Arches Bridge, Polonnaruwa Ruins, Ruwanwelisaya Stupa, Udawalawe National Park"
Place_129,9.717338,81.877219,8334,Cultural,"Nine Arches Bridge, Horton Plains, Arugam Bay"
Place_130,7.121811,81.724853,15285,"Cultural, Adventure","Arugam Bay, Mirissa Beach, Pidurangala Rock, Gregory Lake"
Place_131,8.674243,80.177388,3000,Cultural,Mirissa Beach
Place_132,9.471843,81.799259,2000,"Adventure, Religious",Jaya Sri Maha Bodhi
Place_133,6.133291,80.555178,1490,"Wildlife, Nature, Beach",Pidurangala Rock
Place_134,8.216691,79.717248,5000,Cultural,Temple of the Tooth
Place_135,8.91965,80.193892,9890,Wildlife,Udawalawe National Park
Place_136,6.044173,80.637556,19000,"Wildlife, Nature","Mirissa Beach, Horton Plains"
Place_137,6.240503,81.164687,25655,"Cultural, Religious","Arugam Bay, Adam's Peak"
Place_138,7.830577,81.207866,24483,"Adventure, Cultural, Beach","Temple of the Tooth, Polonnaruwa Ruins"
Place_139,8.337911,80.13517,33054,Adventure,"Jaya Sri Maha Bodhi, Horton Plains, Adam's Peak"
Place_140,9.427348,80.760691,9862,"Beach, Cultural, Wildlife",Adam's Peak
Place_141,9.128663,81.880833,54044,Cultural,"Yala National Park, Temple of the Tooth, Jaya Sri Maha Bodhi"
Place_142,7.0473,79.926323,20934,"Nature, Beach, Wildlife","Polonnaruwa Ruins, Arugam Bay, Nine Arches Bridge, Ambewela Farm, Ruwanwelisaya Stupa"
Place_143,9.670804,80.533347,5667,Adventure,"Polonnaruwa Ruins, Galle Fort"
Place_144,7.63743,79.948687,55994,"Nature, Wildlife","Haggala Garden, Nine Arches Bridge, Adam's Peak, Polonnaruwa Ruins, Little Adam's Peak"
Place_145,6.366685,81.235542,8722,Religious,"Haggala Garden, Yala National Park, Ruwanwelisaya Stupa, Dambulla Cave Temple"
Place_146,6.312144,81.476476,86414,"Nature, Religious","Haggala Garden, Temple of the Tooth, Pidurangala Rock, Jungle Beach"
Place_147,7.755832,81.644052,13009,"Nature, Cultural, Beach","Haggala Garden, Temple of the Tooth"
Place_148,6.996154,80.064923,16437,Wildlife,"Jungle Beach, Horton Plains, Haggala Garden, Little Adam's Peak, Udawalawe National Park"
Place_149,6.839948,80.874097,15008,Wildlife,"Udawalawe National Park, Dambulla Cave Temple, Pidurangala Rock"
Place_150,7.281336,81.604673,7191,Adventure,"Ambewela Farm, Adam's Peak"
Place_151,8.46803,81.653536,17732,"Adventure, Religious, Nature","Pidurangala Rock, Jungle Beach"
Place_152,9.10556,79.744434,19764,Wildlife,"Pidurangala Rock, Haggala Garden"
Place_153,7.086475,80.924205,17814,"Adventure, Beach, Nature","Little Adam's Peak, Haggala Garden"
Place_154,8.319506,79.8333,15970,Adventure,"Ruwanwelisaya Stupa, Sigiriya Museum, Gregory Lake, Arugam Bay, Haggala Garden"
Place_155,8.036128,80.080363,16870,Beach,"Dambulla Cave Temple, Gregory Lake"
Place_156,9.617358,80.42741,12003,"Religious, Adventure, Beach",Temple of the Tooth
Place_157,8.981558,80.526393,7596,Religious,Yala National Park
Place_158,6.307348,81.764203,19855,"Cultural, Religious","Horton Plains, Udawalawe National Park, Polonnaruwa Ruins, Ambewela Farm"
Place_159,9.441625,80.209381,13205,"Nature, Adventure, Religious","Mirissa Beach, Galle Fort, Horton Plains, Jungle Beach"
Place_160,6.534184,80.831504,3349,"Cultural, Wildlife",Yala National Park
Place_161,9.159061,81.491325,18567,"Cultural, Religious, Beach","Horton Plains, Dambulla Cave Temple, Polonnaruwa Ruins, Arugam Bay"
Place_162,8.455664,80.518956,7237,"Wildlife, Nature, Religious","Ambewela Farm, Adam's Peak"
Place_163,9.249033,81.233087,3531,"Cultural, Nature, Beach",Udawalawe National Park
Place_164,9.385409,81.252116,5503,"Adventure, Nature",Yala National Park
Place_165,6.558673,80.525353,2737,Beach,Jungle Beach
Place_166,8.512431,80.724203,14870,"Nature, Beach","Dambulla Cave Temple, Udawalawe National Park, Horton Plains, Jungle Beach, Gregory Lake"
Place_167,6.34448,80.335922,9117,"Wildlife, Adventure",Ambewela Farm
Place_168,8.786862,81.64134,16796,Wildlife,"Jaya Sri Maha Bodhi, Adam's Peak, Udawalawe National Park, Yala National Park"
Place_169,8.51785,81.086807,3761,Beach,Sigiriya Museum
Place_170,9.316116,80.61133,19293,"Nature, Wildlife, Adventure","Pidurangala Rock, Little Adam's Peak, Mirissa Beach, Haggala Garden"
Place_171,7.557885,81.017156,13885,"Beach, Nature","Dambulla Cave Temple, Gregory Lake"
Place_172,8.963021,81.287272,14696,Nature,"Sigiriya Museum, Haggala Garden"
Place_173,7.507727,81.509803,12675,Adventure,"Ambewela Farm, Jaya Sri Maha Bodhi, Little Adam's Peak, Ruwanwelisaya Stupa"
Place_174,7.65122,80.389065,18139,"Religious, Beach","Arugam Bay, Jaya Sri Maha Bodhi, Jungle Beach, Ambewela Farm"
Place_175,9.174093,81.022604,18137,"Nature, Beach, Wildlife","Yala National Park, Horton Plains, Sigiriya Museum"
Place_176,6.749197,80.991678,17687,"Adventure, Religious","Udawalawe National Park, Arugam Bay, Adam's Peak, Nine Arches Bridge"
Place_177,6.647496,80.129034,17514,"Cultural, Religious","Ambewela Farm, Adam's Peak, Pidurangala Rock, Nine Arches Bridge"
Place_178,8.798961,80.827149,4918,"Religious, Nature, Adventure",Ruwanwelisaya Stupa
Place_179,8.242718,81.22603,4151,"Adventure, Cultural, Religious",Galle Fort
Place_180,7.695391,81.193482,12811,"Religious, Cultural","Jungle Beach, Pidurangala Rock, Udawalawe National Park"
Place_181,8.280453,80.670051,4000,Beach,Adam's Peak
Place_182,7.729501,81.665814,4337,Wildlife,Temple of the Tooth
Place_183,7.456851,81.595221,19265,"Religious, Wildlife, Beach","Pidurangala Rock, Jaya Sri Maha Bodhi"
Place_184,7.631001,80.581118,7669,Beach,Pidurangala Rock
Place_185,8.137695,80.173439,17827,"Wildlife, Nature","Adam's Peak, Jaya Sri Maha Bodhi, Gregory Lake"
Place_186,9.715301,79.783684,19895,"Religious, Cultural","Nine Arches Bridge, Haggala Garden, Udawalawe National Park"
Place_187,8.916969,81.544205,3535,Beach,Pidurangala Rock
Place_188,8.971849,81.539047,16838,"Adventure, Cultural, Beach","Horton Plains, Temple of the Tooth, Ruwanwelisaya Stupa"
Place_189,9.595432,79.72173,14730,"Nature, Beach","Adam's Peak, Ruwanwelisaya Stupa, Dambulla Cave Temple"
Place_190,6.840192,80.402197,5144,Adventure,"Sigiriya Museum, Gregory Lake"
Place_191,6.756357,81.025578,15603,Nature,"Mirissa Beach, Udawalawe National Park, Yala National Park, Arugam Bay"
Place_192,6.875273,81.356164,13958,"Adventure, Wildlife, Religious","Jungle Beach, Nine Arches Bridge"
Place_193,6.293613,80.355029,6162,"Wildlife, Religious",Arugam Bay
Place_194,6.103042,79.88405,7112,"Nature, Beach, Adventure","Jaya Sri Maha Bodhi, Adam's Peak"
Place_195,6.580183,81.47234,15617,Cultural,"Pidurangala Rock, Jaya Sri Maha Bodhi"
Place_196,7.170505,79.992596,16735,"Adventure, Nature, Cultural","Dambulla Cave Temple, Sigiriya Museum"
Place_197,7.27832,81.107602,9107,Cultural,"Horton Plains, Yala National Park, Adam's Peak"
Place_198,8.916189,80.888495,2599,"Wildlife, Adventure, Beach","Mirissa Beach, Pidurangala Rock, Galle Fort, Dambulla Cave Temple"
Place_199,7.523175,80.3809,17071,"Beach, Wildlife","Jaya Sri Maha Bodhi, Arugam Bay, Haggala Garden, Horton Plains"
Place_200,7.593938,81.233149,18282,Religious,"Little Adam's Peak, Adam's Peak"
Place_201,8.690449,80.335768,13719,Beach,"Adam's Peak, Dambulla Cave Temple"
Place_202,8.999162,79.917046,19793,Wildlife,"Sigiriya Museum, Adam's Peak"
Place_203,8.305305,80.381471,16734,"Nature, Beach","Sigiriya Museum, Udawalawe National Park"
Place_204,7.240149,79.898451,18332,Religious,"Ambewela Farm, Galle Fort, Polonnaruwa Ruins, Horton Plains"
Place_205,9.427507,80.506389,13589,Cultural,"Sigiriya Museum, Gregory Lake, Mirissa Beach"
Place_206,9.500293,81.08074,19797,"Beach, Wildlife","Horton Plains, Jaya Sri Maha Bodhi, Ambewela Farm, Little Adam's Peak"
Place_207,8.631356,81.215424,5118,"Cultural, Wildlife, Beach",Jungle Beach
Place_208,7.037041,80.129128,8424,Religious,"Dambulla Cave Temple, Ambewela Farm"
Place_209,6.373643,80.87748,15295,"Nature, Cultural","Mirissa Beach, Dambulla Cave Temple, Horton Plains, Ambewela Farm, Udawalawe National Park"
Place_210,7.070737,79.964531,8259,"Nature, Cultural, Beach","Sigiriya Museum, Galle Fort"
Place_211,8.945741,81.458193,6000,"Adventure, Religious",Little Adam's Peak
Place_212,7.375897,79.807136,16631,"Religious, Nature","Mirissa Beach, Horton Plains, Udawalawe National Park, Nine Arches Bridge"
Place_213,6.544561,80.992941,13941,Cultural,"Pidurangala Rock, Horton Plains"
Place_214,6.175068,81.003859,9611,Religious,"Ambewela Farm, Horton Plains, Little Adam's Peak, Ruwanwelisaya Stupa"
Place_215,5.954222,80.205829,16322,"Cultural, Religious, Adventure","Polonnaruwa Ruins, Yala National Park, Pidurangala Rock"
Place_216,7.704406,80.188525,6687,"Adventure, Religious, Beach","Pidurangala Rock, Jungle Beach"
Place_217,8.430588,79.742855,18423,"Adventure, Cultural, Beach","Ambewela Farm, Haggala Garden, Jaya Sri Maha Bodhi, Udawalawe National Park, Pidurangala Rock"
Place_218,6.137871,81.079891,19590,"Nature, Wildlife, Cultural","Jungle Beach, Gregory Lake, Udawalawe National Park"
Place_219,6.860394,81.206068,18051,"Religious, Cultural, Beach","Jungle Beach, Galle Fort, Ambewela Farm"
Place_220,8.219803,81.427281,2948,"Beach, Religious, Adventure",Polonnaruwa Ruins
Place_221,6.809798,79.838413,4000,"Religious, Cultural, Beach",Nine Arches Bridge
Place_222,5.921344,80.715649,16118,"Religious, Nature","Galle Fort, Sigiriya Museum, Ambewela Farm"
Place_223,7.372434,81.260051,16802,Nature,"Nine Arches Bridge, Gregory Lake, Yala National Park, Temple of the Tooth"
Place_224,9.548038,81.340097,15972,"Adventure, Religious","Haggala Garden, Jaya Sri Maha Bodhi, Yala National Park"
Place_225,6.906082,81.707623,5666,Adventure,Jaya Sri Maha Bodhi
Place_226,7.513822,79.778183,7000,"Wildlife, Cultural, Adventure","Arugam Bay, Dambulla Cave Temple"
Place_227,6.769039,80.066478,7000,"Religious, Cultural","Polonnaruwa Ruins, Jungle Beach"
Place_228,6.083298,80.369306,14835,"Adventure, Wildlife","Polonnaruwa Ruins, Mirissa Beach, Pidurangala Rock, Gregory Lake"
Place_229,8.120324,80.893181,12772,"Cultural, Adventure","Mirissa Beach, Little Adam's Peak, Gregory Lake"
Place_230,8.574966,80.688608,7532,"Cultural, Wildlife, Adventure",Jaya Sri Maha Bodhi
Place_231,8.20517,81.800119,7093,Cultural,Gregory Lake
Place_232,6.894907,79.853799,13397,Wildlife,"Arugam Bay, Ruwanwelisaya Stupa, Pidurangala Rock, Yala National Park, Temple of the Tooth"
Place_233,8.513094,81.73906,12163,"Religious, Adventure","Mirissa Beach, Horton Plains, Arugam Bay"
Place_234,9.328405,80.902144,17932,"Beach, Cultural, Religious","Temple of the Tooth, Ambewela Farm, Arugam Bay"
Place_235,8.42075,80.870641,13933,Beach,"Mirissa Beach, Gregory Lake, Arugam Bay, Yala National Park"
Place_236,9.021224,81.285192,16098,Beach,"Pidurangala Rock, Nine Arches Bridge, Jungle Beach, Arugam Bay"
Place_237,9.302258,80.015907,17602,Wildlife,"Nine Arches Bridge, Ruwanwelisaya Stupa, Yala National Park, Dambulla Cave Temple"
Place_238,8.46958,81.546912,4000,"Beach, Nature","Sigiriya Museum, Horton Plains"
Place_239,8.011785,81.673355,6054,"Nature, Religious, Beach","Temple of the Tooth, Nine Arches Bridge, Yala National Park"
Place_240,7.605668,80.005071,6000,"Wildlife, Cultural","Polonnaruwa Ruins, Horton Plains, Temple of the Tooth"
Place_241,6.510254,80.892988,3617,"Religious, Wildlife",Arugam Bay
Place_242,8.444481,79.87713,15786,"Cultural, Nature","Pidurangala Rock, Polonnaruwa Ruins, Jungle Beach, Yala National Park, Gregory Lake"
Place_243,6.883505,80.761247,17326,"Adventure, Religious","Polonnaruwa Ruins, Galle Fort, Ruwanwelisaya Stupa"
Place_244,7.079369,80.475104,12225,"Adventure, Cultural, Wildlife","Mirissa Beach, Ambewela Farm, Nine Arches Bridge, Galle Fort"
Place_245,6.325643,80.627863,7821,"Religious, Adventure","Little Adam's Peak, Haggala Garden"
Place_246,7.742106,80.419626,18142,"Adventure, Beach","Udawalawe National Park, Gregory Lake, Pidurangala Rock, Ruwanwelisaya Stupa, Horton Plains"
